Sprint,Project,Category,Time Estimate,Status,Type,Target Version,Fixed in Version,Summary,Priority,Severity,Reporter,Assigned To,ID,Date Submitted,Updated,Due Date,Workload,Company
1,R&D,Documentation,8,Closed,Evolution,17.0.0,19.0.5,Publish Benchmark Test Results,P2,major,Coop,Coop,1,4/19/2016,5/18/2017,,,White Lodge Inc.
2,Hotline,System,4,Closed,Problem,17.0.0,17.0.0,Compiler Warnings on Windows hosts,P2,major,Coop,Coop,3,4/29/2017,5/17/2017,,,Great Northern
2,R&D,Server,none,Closed,Problem,17.0.0,19.0.5,Runtime Changes not saved to config file,P1,serious,Laura,Nadine,4,5/16/2017,5/17/2017,,,White Lodge Inc.
1,Hotline,VSPlugin,none,Closed,Problem,,19.0.5,Plugin data from earlier versions does not load,P2,blocker,Lucy,support,2,5/9/2017,5/17/2017,,,Double R
4,Hotline,VSPlugin,none,Closed,Problem,,17.0.2,New versions not compatible with VSPlugin,P2,minor,Albert,Coop,6,5/17/2017,5/17/2017,,,Roadhouse
3,R&D,Server,none,Open,Problem,15.x,17.0.2,Fetch telemetry on restart then periodically,P3,minor,Harry S.,Harry S.,5,12/10/2015,5/17/2017,,,White Lodge Inc.
4,R&D,Reporting,none,Closed,Problem,17.0.0,17.0.2,Duplicated results in export files,P2,blocker,Coop,Harry S.,7,3/15/2017,5/17/2017,,,White Lodge Inc.
4,R&D,Documentation,1,Closed,Evolution,17.0.0,17.0.2,Update Prerequisites,P2,minor,Laura,Coop,8,5/16/2017,5/17/2017,,,Double T
3,R&D,Documentation,4,Closed,Problem,17.0.0,17.0.0,Out of date Reliability Statistics,P1,blocker,Jeffries,Coop,9,4/19/2017,5/17/2017,,,Double T
4,R&D,Configuration,8,Closed,Problem,17.0.0,17.0.0,Remove useless values in default config files,P0,blocker,Diane,Diane,10,2/21/2017,5/17/2017,,,White Lodge Inc.
5,R&D,Integrations,none,Closed,Evolution,19.0.0,17.0.2,Integrate with customer data,P2,major,Coop,Nadine,11,5/17/2017,5/17/2017,,,White Lodge Inc.
5,R&D,System,none,Closed,Problem,17.0.0,17.0.0,Plan for data growth in before next release,P2,major,Ronette,Coop,12,12/15/2011,5/17/2017,,,Great Northern
6,R&D,Integrations,8,Closed,Questions,17.0.1,17.0.1,Updates for GUI,P2,major,Coop,Coop,13,5/17/2017,5/17/2017,,,Upper Deck
6,R&D,System,4,Closed,User Story,17.0.1,17.0.2,Backend setup,P2,major,Coop,Coop,14,6/17/2017,6/17/2017,,,Upper Deck
6,R&D,Documentation,none,Closed,Task,17.0.1,17.0.2,Updates for GUI,P1,serious,Laura,Nadine,15,8/17/2017,8/17/2017,,,Great Northern
7,Hotline,Reporting,none,Closed,Problem,17.0.2,17.0.2,Reporting of individual and group items,P2,blocker,Lucy,support,16,1/2/2019,3/1/2019,,,Upper Deck
7,R&D,Server,none,Closed,Evolution,17.0.2,17.0.2,Reporting of individual and group items,P2,minor,Albert,Coop,17,1/2/2019,3/1/2019,,,Upper Deck
